Id	Physiological System	Organ	Tissue/Cell line	Tissue/Cell line	Tissue/Cell line	Tissue/Cell line	Tissue/Cell line
418	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18856 cells	"		
873	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18858 cells	"		
419	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18859 cells	"		
874	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18861 cells	"		
420	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18862 cells	"		
875	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18870 cells	"		
421	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18871 cells	"		
876	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18907 cells	"		
422	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18909 cells	"		
877	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18912 cells	"		
423	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18913 cells	"		
878	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18916 cells	"		
424	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM18951 cells	"		
879	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19092 cells	"		
425	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19093 cells	"		
880	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19098 cells	"		
426	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19099 cells	"		
881	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19101 cells	"		
427	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19102 cells	"		
882	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19108 cells	"		
428	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19114 cells	"		
883	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19116 cells	"		
429	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19119 cells	"		
884	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19127 cells	"		
430	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19128 cells	"		
885	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19130 cells	"		
431	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19131 cells	"		
886	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19137 cells	"		
432	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19138 cells	"		
887	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19140 cells	"		
433	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19141 cells	"		
888	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19143 cells	"		
434	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19144 cells	"		
889	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19147 cells	"		
435	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19147-1 cells	"		
890	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19147-2 cells	"		
436	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19152 cells	"		
891	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19153 cells	"		
437	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19159 cells	"		
892	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19160 cells	"		
438	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19171 cells	"		
972	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19172 cells	"		
439	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19190 cells	"		
973	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19192 cells	"		
974	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19193 cells	"		
440	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19200 cells	"		
975	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19201 cells	"		
441	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19203 cells	"		
976	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19204 cells	"		
442	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19206 cells	"		
977	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19207 cells	"		
443	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19209 cells	"		
978	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19210 cells	"		
444	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19222 cells	"		
979	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19223 cells	"		
445	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19225 cells	"		
980	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19238 cells	"		
446	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19239 cells	"		
981	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19240 cells	"		
447	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM19257 cells	"		
982	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM20000 cells	"		
448	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM2255 cells	"		
983	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM2588 cells	"		
449	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM2610 cells	"		
984	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GM2630 cells	"		
450	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" GRANTA-519 cells	"		
985	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" HBL-1 cells	"		
451	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" HT cells	"		
986	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" IB4 cells	"		
1157	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 lymphoblasts	" 70Z/3 cells	"	
452	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" M12 cells	"		
987	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" ME-1 cells	"		
453	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" Mutu cells	"		
988	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" NA11830 cells	"		
454	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" NA11831 cells	"		
989	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" NA11840 cells	"		
455	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" NA11881 cells	"		
990	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" NA11894 cells	"		
456	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" NA12043 cells	"		
991	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" NA12776 cells	"		
457	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" NA12813 cells	"		
992	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" NAMALWA cells	"		
458	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" NCI-H929 cells	"		
459	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 NHL	" KARPAS-422 cells	"	
460	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 NHL	" OCI-LY1 cells	"	
1158	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 NHL	" OCI-LY10 cells	"	
1159	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 NHL	" OCI-LY19 cells	"	
461	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 NHL	" OCI-LY3 cells	"	
1160	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 NHL	" OCI-LY4 cells	"	
462	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 NHL	" OCI-LY7 cells	"	
1161	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 NHL	" OCI-LY8 cells	"	
993	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" P493-6 cells	"		
319	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" Pfeiffer cells	"		
1067	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" plasma cells	"		
245	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 plasma cells	 MML	" 1° cells	"
1189	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 plasma cells	 MML	" KMS-11 cells	"
320	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 plasma cells	 MML	" LP-1 cells	"
1190	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 plasma cells	 PCL	" JJN-3 cells	"
321	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 plasma cells	" plasmacytoma	"	
322	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" plasmablasts	"		
1141	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 pre-B	" 38B9 cells	"	
323	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 pre-B	" 81.3 cells	"	
1142	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	 pre-B	" HAFTL cells	"	
1068	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" pro-B cells	"		
324	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" Raji cells	"		
1069	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" Ramos cells	"		
325	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" RC-K8 cells	"		
1070	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" S194/5.XXO-1 cells	"		
326	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" SU-DHL-10 cells	"		
1071	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" SU-DHL-2 cells	"		
327	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" SU-DHL-4 cells	"		
1072	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" SU-DHL-5 cells	"		
328	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" SU-DHL-6 cells	"		
1073	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" TE7 cells	"		
329	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" TMD8 cells	"		
1074	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" Toledo cells	"		
330	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" U-266 cells	"		
1075	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" U-2932 cells	"		
331	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" unspecified	"		
1076	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" WEHI-231 cells	"		
332	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" WEHI-279 cells	"		
1077	Immune	Leukocytes	lymphoid lineage	 B lymphocytes	" WSU-DLCL2 cells	"		
333	Immune	Leukocytes	lymphoid lineage	 innate lymphoid cells	" ILC2 cells	"		
1078	Immune	Leukocytes	lymphoid lineage	 innate lymphoid cells	" ILC87 cells	"		
334	Immune	Leukocytes	lymphoid lineage	" leukemic stem cells	"			
335	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" 1° ALL cells	"	
1143	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" 8946 cells	"	
72	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" CCRF-CEM-C7H2 cells	"	
82	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" CUTLL1 cells	"	
336	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" DND-41 cells	"	
1144	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" ICN12 cells	"	
337	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" KOPT-K1 cells	"	
155	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" NALM-6 cells	"	
338	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" REH cells	"	
1145	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" RPMI 8402 cells	"	
339	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" RS4-11 cells	"	
1146	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" SEM cells	"	
1147	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" SIL cells	"	
340	Immune	Leukocytes	lymphoid lineage	 lymphoblasts	 ALL	" SUP-B15 cells	"	
341	Immune	Leukocytes	lymphoid lineage	 lymphocytes	" L-1236 cells	"		
1079	Immune	Leukocytes	lymphoid lineage	 lymphocytes	" L-428 cells	"		
342	Immune	Leukocytes	lymphoid lineage	 lymphocytes	" L-591 cells	"		
1080	Immune	Leukocytes	lymphoid lineage	 lymphoma	" 1° cells	"		
612	Immune	Leukocytes	lymphoid lineage	" natural killer cells (CD56+)	"			
343	Immune	Leukocytes	lymphoid lineage	" PBMCs	"			
1148	Immune	Leukocytes	lymphoid lineage	 T lymphoblasts	 T-ALL	" 1° cells	"	
344	Immune	Leukocytes	lymphoid lineage	 T lymphoblasts	 T-ALL	" G4A2 cells	"	
1149	Immune	Leukocytes	lymphoid lineage	 T lymphoblasts	 T-ALL	" HPB-ALL cells	"	
345	Immune	Leukocytes	lymphoid lineage	 T lymphoblasts	 T-ALL	" Loucy cells	"	
1292	Immune	Leukocytes	lymphoid lineage	 T lymphoblasts	 T-ALL	" MOLT-3 cells	"	
1150	Immune	Leukocytes	lymphoid lineage	 T lymphoblasts	 T-ALL	" T6E cells	"	
346	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" ACH2 cells	"		
1081	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" CD3+	"		
348	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" CD4+	"		
347	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" CD4/CD8 -	"		
1082	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" CD4/CD8+	"		
1083	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" CD45+	"		
1084	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" cytotoxic (CD8+)	"		
349	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" EL4 cells	"		
350	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" helper	"		
351	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 helper	" follicular	"	
1151	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 helper	" mature	"	
352	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 helper	" Th0	"	
1152	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 helper	" Th1	"	
353	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 helper	" Th17	"	
1153	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 helper	" Th2 	"	
354	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 helper	" Th9 	"	
1085	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" Jurkat	"		
355	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" Jurkat E6-1	"		
1086	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" memory	"		
356	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" natural killer	"		
1087	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" naïve	"		
1088	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" NCHA cells	"		
357	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" P5424 cells	"		
1154	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 pre-T	" P6D4 cells	"	
202	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 regulatory	 colon	" lamina propria	"
203	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 regulatory	" spleen	"	
205	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 regulatory	" thymus	"	
358	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	 regulatory	" unspecified	"	
1089	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" thymocytes	"		
359	Immune	Leukocytes	lymphoid lineage	 T lymphocytes	" unspecified	"		
613	Immune	Leukocytes	myeloid lineage	" granulocyte-macrophage progenitor cells	"			
1155	Immune	Leukocytes	myeloid lineage	 granulocytes	 basophils	" EML cells	"	
360	Immune	Leukocytes	myeloid lineage	 granulocytes	 mast cells	" bone marrow-derived	"	
1090	Immune	Leukocytes	myeloid lineage	 granulocytes	" neutrophils	"		
361	Immune	Leukocytes	myeloid lineage	 granulocytes	" unspecified	"		
362	Immune	Leukocytes	myeloid lineage	 macrophages	" alveolar	"		
142	Immune	Leukocytes	myeloid lineage	 macrophages	" bone marrow-derived	"		
363	Immune	Leukocytes	myeloid lineage	 macrophages	" duodenal	"		
1092	Immune	Leukocytes	myeloid lineage	 macrophages	" ESC-derived	"		
364	Immune	Leukocytes	myeloid lineage	 macrophages	" ileal	"		
1093	Immune	Leukocytes	myeloid lineage	 macrophages	" Kupffer cells	"		
365	Immune	Leukocytes	myeloid lineage	 macrophages	" lung	"		
80	Immune	Leukocytes	myeloid lineage	 macrophages	" monocyte-derived	"		
938	Immune	Leukocytes	myeloid lineage	 macrophages	" MV-4-11 cells	"		
67	Immune	Leukocytes	myeloid lineage	 macrophages	" peritoneal cavity-derived	"		
1091	Immune	Leukocytes	myeloid lineage	 macrophages	" RAW264.7 cells	"		
939	Immune	Leukocytes	myeloid lineage	 macrophages	" spleen	"		
714	Immune	Leukocytes	myeloid lineage	 macrophages	" tumor-associated	"		
940	Immune	Leukocytes	myeloid lineage	 macrophages	" unspecified	"		
1169	Immune	Leukocytes	myeloid lineage	 monocytes	 CD14++/CD16-	" blood	"	
176	Immune	Leukocytes	myeloid lineage	 monocytes	 CD14+	" blood	"	
717	Immune	Leukocytes	myeloid lineage	 monocytes	" granulocyte progenitor	"		
941	Immune	Leukocytes	myeloid lineage	 monocytes	" U-937 cells	"		
718	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" 1° cells	"	
1170	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" 961 C cells	"	
1324	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" F36P cells	"	
719	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" kasumi-1 cells	"	
1171	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" KG-1 cells	"	
720	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" M0-91 cells	"	
1172	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" ML-2 cells	"	
721	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" MLL-AF10-immortalized cells	"	
1173	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" MLL-AF9-immortalized cells	"	
722	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" MUTZ-3 cells	"	
1174	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" NOMO-1 cells	"	
1192	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	 OCI-myeloblasts	" AML3 cells	"
723	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" RN2 cells	"	
1175	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" SKNO-1 cells	"	
249	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" THP-1 cells	"	
1176	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" TSU-1621MT cells	"	
724	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" UT-7 cells	"	
1177	Immune	Leukocytes	myeloid lineage	 myeloblasts	 AML	" X18.1.1 cells	"	
725	Immune	Leukocytes	myeloid lineage	 myeloblasts	 CML	" JURL-MK1 cells	"	
175	Immune	Leukocytes	myeloid lineage	 myeloblasts	 CML	" K562 cells	"	
726	Immune	Leukocytes	myeloid lineage	 myeloblasts	 CML	" KBM-7 cells	"	
1178	Immune	Leukocytes	myeloid lineage	 myeloblasts	 CML	" KBM-7-HAP1 cells	"	
727	Immune	Leukocytes	myeloid lineage	 myeloblasts	 CML	" KU812 cells	"	
728	Immune	Leukocytes	myeloid lineage	 myeloblasts	" Kasumi-1 cells	"		
73	Immune	Leukocytes	myeloid lineage	 promyelocytes	 APL	" 1° cells	"	
74	Immune	Leukocytes	myeloid lineage	 promyelocytes	 APL	" HL-60 cells	"	
1179	Immune	Leukocytes	myeloid lineage	 promyelocytes	 APL	" MR4 cells	"	
148	Immune	Leukocytes	myeloid lineage	 promyelocytes	 APL	" NB4 cells	"	
1180	Immune	Leukocytes	myeloid lineage	 promyelocytes	 APL	" UPR9 cells	"	
942	Immune	Leukocytes	other	 MLL	" 1° cells	"		
943	Immune	Lymph node	mantle cells	 MCL	" JEKO-1 cells	"		
729	Immune	Lymph node	mantle cells	 MCL	" JVM-2 cells	"		
944	Immune	Lymph node	mantle cells	 MCL	" Mino cells	"		
730	Immune	Lymph node	mantle cells	 MCL	" REC-1 cells	"		
945	Immune	Lymph node	mantle cells	 MCL	" Z-138 cells	"		
680	Immune	Spleen	whole spleen				
204	Immune	Thymus	epithelium	" medullary cells	"			
13	Male reproductive	Epididymis	caput	 initial segment	" whole	"		
947	Male reproductive	Epididymis	caput	 proximal segment	" whole	"		
732	Male reproductive	Epididymis	caput	" whole	"			
676	Male reproductive	Prostate	epithelium	" CWR-R1-AD1 cells	"			
734	Male reproductive	Prostate	epithelium	" CWR-R1-D567 cells	"			
675	Male reproductive	Prostate	epithelium	" CWR22PC cells	"			
206	Male reproductive	Prostate	epithelium	" CWR22Rv1 cells	"			
207	Male reproductive	Prostate	epithelium	" DU145 cells	"			
735	Male reproductive	Prostate	epithelium	" DUCaP cells	"			
677	Male reproductive	Prostate	epithelium	" EP156T cells	"			
1198	Male reproductive	Prostate	epithelium	" LHSAR cells	"			
1200	Male reproductive	Prostate	epithelium	" LHSAR cells	"			
6	Male reproductive	Prostate	epithelium	" LNCaP cells	"			
3	Male reproductive	Prostate	epithelium	" LNCaP-1F5 cells	"			
7	Male reproductive	Prostate	epithelium	" LNCaP-abl cells	"			
1272	Male reproductive	Prostate	epithelium	" LNCaP-ARhi cells	"			
2	Male reproductive	Prostate	epithelium	" LNCaP-BiCR cells	"			
1197	Male reproductive	Prostate	epithelium	" LNCaP-C4-2 cells	"			
1201	Male reproductive	Prostate	epithelium	" LNCaP-C4-2 cells	"			
251	Male reproductive	Prostate	epithelium	" LNCaP-C4-2B cells	"			
159	Male reproductive	Prostate	epithelium	" LNCaP-LP50 cells	"			
736	Male reproductive	Prostate	epithelium	" LREX cells	"			
5	Male reproductive	Prostate	epithelium	" LuCaP 35V xenograft	"			
1268	Male reproductive	Prostate	epithelium	" LuCaP 69 xenograft	"			
1267	Male reproductive	Prostate	epithelium	" LuCaP 73 xenograft	"			
737	Male reproductive	Prostate	epithelium	" NCI-H660 cells	"			
8	Male reproductive	Prostate	epithelium	" PC3 cells	"			
208	Male reproductive	Prostate	epithelium	" PC3-M cells	"			
1011	Male reproductive	Prostate	epithelium	" PPECs	"			
4	Male reproductive	Prostate	epithelium	" RWPE1 cells	"			
209	Male reproductive	Prostate	epithelium	" VCaP cells	"			
1297	Male reproductive	Prostate	epithelium	" VCaP-VCS-2 cells	"			
588	Male reproductive	Prostate	epithelium	" VCaP-VCS2 cells	"			
738	Male reproductive	Prostate	epithelium	" WPMY-1 cells	"			
1012	Male reproductive	Prostate	other	" tumor	"			
739	Male reproductive	Prostate	other	 tumor	" metastatic	"		
1013	Male reproductive	Prostate	other	" whole prostate	"			
948	Male reproductive	Prostate	other	 whole prostate	" lateral	"		
740	Male reproductive	Prostate	other	 whole prostate	" ventral	"		
681	Male reproductive	Testis	GSCs				
160	Male reproductive	Testis	other	 efferent ductules	" whole	"		
14	Male reproductive	Testis	other	 Sertoli cells	" TTE3 cells	"		
741	Male reproductive	Testis	other	" testicular somatic cells	"			
9	Male reproductive	Testis	other	" whole testis	"			
742	Male reproductive	Testis	sperm	" mature	"			
743	Male reproductive	Testis	sperm	" spermatids	"			
1014	Male reproductive	Testis	sperm	" spermatocytes	"			
1015	Male reproductive	Testis	sperm	" spermatogonia	"			
744	Metabolic	Adipose tissue	BAT	" adipocytes	"			
1287	Metabolic	Adipose tissue	BAT	" interscapular	"			
745	Metabolic	Adipose tissue	BAT	" preadipocytes	"			
161	Metabolic	Adipose tissue	BAT	" unspecified	"			
1295	Metabolic	Adipose tissue	BrAT	 adipocytes	" hMADs-derived	"		
195	Metabolic	Adipose tissue	other	 adipocytes	" immortalized	"		
589	Metabolic	Adipose tissue	WAT	 abdominal	" stromal cells	"		
1289	Metabolic	Adipose tissue	WAT	 adiocytes	" hASC-derived	"		
746	Metabolic	Adipose tissue	WAT	 adipocytes	" 1° cells	"		
15	Metabolic	Adipose tissue	WAT	 adipocytes	" 3T3-L1-derived	"		
16	Metabolic	Adipose tissue	WAT	 adipocytes	" C3H/10T1/2 cell-derived	"		
1326	Metabolic	Adipose tissue	WAT	 adipocytes	" hMADs-derived	"		
273	Metabolic	Adipose tissue	WAT	 adipocytes	" MEF-derived	"		
262	Metabolic	Adipose tissue	WAT	 adipocytes	" MSC-derived	"		
264	Metabolic	Adipose tissue	WAT	 adipocytes	" SGBS cells	"		
17	Metabolic	Adipose tissue	WAT	 adipocytes	 unspecified	" 1° cells	"	
138	Metabolic	Adipose tissue	WAT	" epididymal	"			
218	Metabolic	Adipose tissue	WAT	" inguinal	"			
253	Metabolic	Adipose tissue	WAT	" mesenteric	"			
219	Metabolic	Adipose tissue	WAT	" omental	"			
19	Metabolic	Adipose tissue	WAT	 preadipocytes	 inguinal	" 1° cells	"	
265	Metabolic	Adipose tissue	WAT	 preadipocytes	 subcutaneous	" 1° cells	"	
252	Metabolic	Adipose tissue	WAT	 preadipocytes	 unspecified	" 1° cells	"	
220	Metabolic	Adipose tissue	WAT	" retroperitoneal	"			
221	Metabolic	Adipose tissue	WAT	" stem cells	"			
222	Metabolic	Adipose tissue	WAT	" subcutaneous	"			
223	Metabolic	Adipose tissue	WAT	" unspecified	"			
747	Metabolic	Kidney	clear cell carcinoma				
590	Metabolic	Kidney	cortex	" whole	"			
1016	Metabolic	Kidney	epithelial cells	" RPTEC	"			
749	Metabolic	Kidney	epithelium	" 786-O cells	"			
1017	Metabolic	Kidney	epithelium	" Caki-1 cells	"			
22	Metabolic	Kidney	epithelium	" HEK293 cells	"			
1318	Metabolic	Kidney	epithelium	" HEK293-T cells	"			
1018	Metabolic	Kidney	epithelium	" HEK293-T-Rex cells	"			
1019	Metabolic	Kidney	epithelium	" HKC8 cells	"			
750	Metabolic	Kidney	epithelium	" HRCEpiCs	"			
1020	Metabolic	Kidney	epithelium	" HREs	"			
1021	Metabolic	Kidney	epithelium	" iSLK cells	"			
751	Metabolic	Kidney	epithelium	" mIMCD-3 cells	"			
1022	Metabolic	Kidney	epithelium	" mpkCCD cells	"			
752	Metabolic	Kidney	fibroblasts	" Patski cells	"			
1281	Metabolic	Kidney	inner medullary connecting duct	" IMCD-3 cells	"			
1023	Metabolic	Kidney	metanephros	" mK3 cells	"			
753	Metabolic	Kidney	metanephros	" mK4 cells	"			
1024	Metabolic	Kidney	pelvis	" whole	"			
754	Metabolic	Kidney	podocytes				
20	Metabolic	Kidney	whole kidney				
949	Metabolic	Kidney	whole	 kidney	" embryonic	"		
755	Metabolic	Liver	epithelium	" BNL CL.2 cells	"			
1025	Metabolic	Liver	epithelium	" Hepa-1-6 cells	"			
224	Metabolic	Liver	epithelium	" Hepa-1c1c7 c35-3 cells	"			
140	Metabolic	Liver	epithelium	" Hepa-1c1c7 cells	"			
163	Metabolic	Liver	epithelium	" HepG2 cells	"			
